	actual_label	prediction	abstract
185	Course	Course	 connect develop find write follow theorem teach ja mix manuscript dvi union assign ram catalog sieg latex cse art tth inform consider feel anderson log graph contain richard washington al interconnect cost address correct e progress think taught get matrix code approach fast ps non half see number edu april year et meet section interest access parallel paper program tuesday instructor work research use base thursday text time term cover design model spring mail homework p cs
186	Course	Course	 dilbert ask write friedman follow know assign inform wait menu etc contain w understand avoid pay respond show tick login wednesday quota edit make html well address contact jeff ms noland relief keyword cae microsoft vectra packard hewlett modem syntax friday misconduct risk board koffman e read finger wisc st dayton rm school th think run click taught monday end get printer window search learn fortran point code send mwf non world check hand matter f see www http web edu holiday test help textbook lab section room interest program instructor way name week work pm research use base text time cover part credit mail phone hall page home cs
187	Course	Course	 cool find follow teach match maintain teitelbaum ben uw excel mw mother intel suhui jyothi agupta gupta jherro ashraf aboulnaga jfink fink rehnuma rahman bockrath ed map tourist paragraph w wednesday ibm doit address dept chiang hui su tr wisconsin madison keyword cae microsoft packard hewlett e read wisc click monday end get return window search yahoo send world borland ta professor email site web fall edu section r instructor name work use link time control mail phone news page home cs
188	Non-Course	Non-Course	 nuprl play art rest visit photo game e learn send world java take work mail page home
189	Non-Course	Non-Course	 page home
190	Non-Course	Course	 teach inform uw contain todd fall section program page cs
191	Non-Course	Non-Course	 ratan ohlrich love humor vivek nasa bauer usa heimdahl fax leveson cad diagram wa preview box inform berkeley uw kurt jon washington html e school fun user web background java edu interest program way name work b design page cs
192	Course	Course	 robust express hash spent develop grad bound find write frank let loop follow load know begin teach assign nd chang inform unix consider debug pr label int wait bring app town classwork ghostview menu max log graph thing uw etc trip girl birthday avl weight street skip contain dewitt carrano cchin weiz tang chin attend mean visit w understand call top avoid respond show j wednesday min wei david index vi edit photo make doit html well desk address sci comp contact correct jim isbn zhang madison friday e read wisc st dayton scheme th gdb detail think run taught monday end output get header window format search learn fortran talk point code user send logic session tell download tba f see ta email id www http take fall statement edu state period order test field g color product help level lab section room size interest bug paper program c break file tuesday instructor way name type date week work pm use base thursday text time cover design data summer mail phone homework group news page home cs
193	Course	Non-Course	 develop find werner inform progress get hand web take size interest work use link design credit practicum page cs
194	Non-Course	Non-Course	 inc chuck server web page home
195	Non-Course	Non-Course	 hu lan
196	Non-Course	Non-Course	 printf born u linear ne berg apt stefan bachelor tex weather north bloomington indiana fax teach dvi wa sieg cse box inform ch char gcc byte contain washington comparison v address phd finger school th run bookmark return format unit code see email edu state field g interest program c way x date work b time spring phone hall page home cs
197	Course	Course	 found ask cfg idfa assign vass meb cecil vortex sieg winter quarter cse front inform etc w craig washington html fr read th end format rtl f ta web edu standard test year meet interest program c file instructor week research use time mail homework page home cs
198	Non-Course	Non-Course	 xue addr ut univ sigmod cool music tsinghua siggraph thank weather tel institut china hunt com inform tx austin sigcomm buy ieee lu h dept contact microsoft e acm network ta www site edu jan work link mail news page home cs
199	Non-Course	Non-Course	 segal vita softbot wa box richard washington overview half edu research page home cs
200	Non-Course	Non-Course	 altavista west chandra wi usa log street v york wisconsin madison wisc dayton click see edu g interest c research link time phone p page home cs
201	Course	Non-Course	 cse page home
202	Non-Course	Non-Course	 page home
203	Non-Course	Non-Course	 throughput tb eicken poe connect u ring chao czajkowski grzegorz meiko brief round develop risc gold symp cm australia coast goldstein culler avula sp bandwidth find aix basu thorsten vineet ph pittsburgh alto palo let paragon micro know perform chang art lib inform scale pa berkeley int trip top show l ibm mb ieee comparison block well interconnect cost sun contact aug ii e read pass th detail progress think click end tar phase talk acm code user send network atm fast focus support mpp processor spec flow word f see site state california k standard order feb buffer z level interest access von mpi parallel paper program c split file research use base time part control design model page cs
204	Non-Course	Non-Course	 page home
205	Course	Course	 ask express catch develop write follow teach assign chang match inform paradigm contain wednesday make well correct e read think run monday sit score total return window symbol learn user send focus thu random check growth submit mac pc tell hand joint matter half word download borland browser tba f see ho voskuhl szewczyk robert ta professor dan email password id server www http site web reach background number java take chosen dylan august fall edu state justin period order g help textbook lab meet access staff program break prelim tuesday way name type date week work b pm use base thursday time cover model data credit upson page home cs
206	Non-Course	Non-Course	 asha marathon karthikeyan sigmod amit bachelor bombay jeffrey il chicago ny council wi nation cooper consortium institut perform nd wa inform princeton naughton prasad boston dec york dept phd jeff wisconsin madison wisc st run bookmark network support logic spec ps f email server reach edu help interest multimedia paper program name date work research base link data mail phone page home cs
207	Course	Course	 follow perform assign chang attend call noon wednesday wood david cao pei miron bach client bart seminar jim wisconsin cst madison friday wisc monday discuss overview thu miller email server java edu april jan break march file instructor week time spring phone cs
208	Non-Course	Non-Course	 hai river amir tsinghua alan bs israel jose find institut ph china zhou vlsi cad bulletin inform zhao tx austin taylor san compuer visit w chen ieee h contact ms martin e st th search acm focus logic non f professor www number edu period jan year room size interest staff r c research design model mail hall group news p page home cs
209	Non-Course	Non-Course	 alec wolman romer bershad thekkath voelker guitar play perform etch chateau wa baer winter box otter tcp vii lee washington aug jim st school th network atm trees edu lab room interest paper x work research link summer hall page home cs
210	Course	Course	 perform assign buy etc experiment make doit well linux desk read detail discuss total window point review hand paper file tuesday pm research use thursday text cover design spring hall cs
211	Non-Course	Non-Course	 prone find write usa zpl zp loop wa chang cse box inform uw etc washington index detail run overview fortran fast support flow check browser f web edu help level parallel paper program c work base control group cs
212	Non-Course	Non-Course	 hudson u ut ba represent vita usa msc fax draft inform lifschitz vladimir causal turner tx austin tay phd contact logic edu interest paper program c research link page home cs
213	Course	Course	 dilbert ask gareth write friedman follow perform assign inform wait bring menu etc contain mean handin w understand avoid show login wednesday edit make html well contact fri ms relief keyword cae microsoft vectra packard hewlett pg modem syntax friday misconduct risk zero board projector koffman e read pass finger wisc st dayton rm bestor th think run click taught mid monday end get score printer window search learn fortran point code send mwf non mon world hand matter f see id www http web edu holiday april help textbook lab section room interest program algebra instructor way name week work pm research use base text time term cover mail phone hall page home cs
214	Non-Course	Non-Course	 smt throughput jlo santa philadelphia stamm rebecca lo fetch tullsen jack susan dean hank joel perform context maintain pa workshop symposium speed uw rd l j washington stanford h e conduct june chip overview today unit fast workload microprocessor processor face check submit edu order level r parallel work research use p page home cs
215	Course	Course	 tompa find assign nonprofit handbook balloon preview match winter bulletin keep hypermedia quarter cse art inform menu engr ben contain washington martin board demo think run click search code send world check mac word see web take copyright edu test help textbook lab staff program c work use link time credit summer spring mail homework page home cs
216	Non-Course	Non-Course	 karen l
217	Non-Course	Non-Course	 career ph perl vlsi cad liu inform unix tx austin hqliu taylor huiqun tk tcl ieee address mosaic contact martin e hi bookmark search yahoo acm send tour world professor email site web java edu center meet program research design mail phone group news page home cs
218	Course	Course	 nuprl chief assign plain sawada samuel ruben hope bowen manifesto coq lego qed nelson otter prover boyer phl taylor make html e approach support logic world web number order test april g help program algebra instructor type use base text spring page cs
219	Non-Course	Non-Course	 guri west india cray sriram vijaykumar multiscalar circa sohi gurindar lebeck goodman target ny develop risc grad scott fine bandwidth wi watson institut usa ph fax sigplan friedman franklin micro load perform handbook branch ilp prolog traffic chow austin paradigm symposium inter grain rd street understand mp j ibm compress ieee n interconnect address chiang todd wisconsin madison zero e wisc dayton th detail get window chip talk network fast focus support processor smith flow non professor edu order april g center level interest access r parallel program split file b research use press base control design model data department phone group page home cs
220	Non-Course	Non-Course	 develop zeno multimedia paper research group
221	Non-Course	Non-Course	
222	Non-Course	Non-Course	 west millett express pgp rebecca ny develop find ithaca government know inform script call oct v copyright edu holiday year link cs
223	Non-Course	Non-Course	 dna string vita conf proc find wi ph fax condon follow inform berkeley lead w call j bach v well wisconsin madison e wisc st dayton th click euler search code mit random tell professor email number edu california test automata product math interest algebra work research use press base design model page home cs
224	Non-Course	Non-Course	 oopsla benson lopez collector born bologna alan portland vita speak develop jose institut usa fax brian wa sieg cse box san star uw lead top freeman washington editor depth well address phd school verlag springer run breadth acm submit f email august edu oregon california camera year meet interest program march research link cover design mail hall home cs
225	Non-Course	Non-Course	 pool usa spin wa keep quarter cse understand craig washington fr run half take edu help interest work research press time page home cs
226	Non-Course	Non-Course	 u west nextstep hoofer sfm zealand massey gareth coursework minimum vita write wi fax sc teach inform uw street map inc call make dyer fr consent robot wisconsin madison keyword projector e finger wisc dayton bestor school click taught search learn fortran point logic non motion world www http web number edu g vision transform camera scene lab section interest r program algebra instructor type work b research use base time cover model data credit spring mail group page home cs
227	Non-Course	Non-Course	 berkeley visit html dan www http edu page home
228	Non-Course	Non-Course	 altavista le find jazz dr uw thayer brad j seminar search network world check email web et interest use link model mail page home cs
229	Non-Course	Non-Course	 u ann speak spent develop find write wi join jack agreement merit nation susan cooper matthew respect filter inform branch feel diego san uw street visit w inc co toolkit edit address seminar contact wisconsin madison read wisc dayton rm newsgroup campus end june format user send network focus support see email site web background edu year help level interest staff week work research use base time part mail group page home cs
230	Non-Course	Non-Course	 kunen page home
231	Non-Course	Non-Course	 springbok triptych fpga hauck chinook vita develop scott usa assign wa multi co washington well fr board th june edu year level interest parallel work research design cs
232	Course	Non-Course	 develop deliver write institut specialist respect leadership play latter portfolio teach assign leveson sieg chang quarter cse platform uw etc understand avoid washington cmu experiment make cost correct architect risk conduct end discuss get phase search learn user approach support non session review see professor www take edu test product meet program instructor way x work use time feedback part control design model mail phone group page home cs
233	Non-Course	Non-Course	 michalowski chamberlain thrash résumé hotlist guestbook pgp thank grad find poem institut song brian know visitor wa sieg keep cse stop uw girl brad visit co washington edit dept finger get search random site web number take edu test year interest file name work use time mail phone page cs
234	Course	Course	 dave assign chang etc melski w oct david wesley addison savitch walter noland reload misconduct read wisc th click get window code mwf check borland ta email edu help lab meet section program c instructor work use press link text tue phone page cs
235	Course	Course	 usa teach assign loew leveson karp acrobat ruzzo wa eeb sieg nowitz winter cse johnson box paul w jonathan wednesday washington get mwf browser f web fall edu section tuesday instructor b pm thursday part spring phone homework cs
236	Non-Course	Non-Course	 swartz jonathan page home
237	Non-Course	Course	 condor neat teach jpeg joe bockrath wednesday make wisc click monday kb send support mwf review word email www site edu section b pm model page home cs
238	Non-Course	Non-Course	
239	Non-Course	Non-Course	 btech west wi institut usa street dec wisconsin madison wisc dayton june edu hill page home cs
240	Non-Course	Non-Course	 perkowitz bio usenet mine umass zamir selberg erik keith segal brief etzioni planner food sound cacm chain brook stephen ijcai fiction aaai softbot oren fax sparc agent william sieg hunt inform unix multi option contain expert aij mike faq inc understand jonathan richard washington ieee comparison photo html robot phd ai wisconsin packard hewlett e st run search learn user greg network fact world robert www web august edu state law jan field center bruce room access parallel paper program c file research use base data mail hall group page home cs
241	Non-Course	Non-Course	 aruna india bachelor tx austin taylor j contact email fall edu work hall cs
242	Non-Course	Non-Course	 altavista ask nuprl theorem rob index linux run user browser www edu help link feedback design page cs
243	Non-Course	Non-Course	 listen korea ha melco keyboard sang shim love le music piano hong bs ny jazz ithaca antonio guitar play follow know inform jung john rd watch address e school meng click get world check www web java edu california transform camera interest access work time phone news page home cs
244	Non-Course	Non-Course	 cad page home
245	Non-Course	Non-Course	 krafft dean b
246	Non-Course	Non-Course	 render seitz siggraph represent steve chang mpeg call chuck viewpoint dyer well shavlik jude correct click face k color transform camera scene interest paper work use base
247	Course	Course	 assign inform sept oct stat mosaic chamberlin lec sci comp dsilva contact csm silva savitch walter noland microsoft misconduct wisc rm th window borland email edu textbook lab section program c tuesday instructor text nov tue phone p page home cs
248	Non-Course	Non-Course	 west wi usa street wisconsin madison e wisc dayton edu research mail phone page home cs
249	Non-Course	Non-Course	 linear baggett vita seek ny trefethen ithaca fluid frank cam l h n jeff misc detail non submit background edu k april year center interest paper type work research hill link model summer hall page
250	Non-Course	Non-Course	 himanshu god india adam pelham travel sound delhi iit wa sieg quarter cse stop washington dept finger tech search take edu order name b link design mail phone page home cs
251	Non-Course	Non-Course	 render u travel siggraph grad find island follow cse thing j make contact click get browser scene year interest paper work link page
252	Non-Course	Non-Course	 ut austin network research
253	Non-Course	Non-Course	
254	Non-Course	Non-Course	 pgp spin hsieh postdoc fax wa sieg chang box wilson washington phd school mit lie number edu interest parallel program c bill work research link phone cs
255	Non-Course	Non-Course	 donald bruce
256	Non-Course	Non-Course	 eicken u perfect kenneth ny bandwidth bound find malki dalia hickey takako hayden mountain copper basu anindya werner guo ierland thorsten cooper ithaca vineet fax vaysburd brian add aka perform teach robbert workshop symposium speed thing brad lead ieee dept tr pass th think demand van acm user network atm support smith world tell see email reach number take august edu level meet interest multimedia von parallel march work research time design data upson phone hall group birman p practicum cs
257	Non-Course	Non-Course	 ask valley sharmila cool membership bachelor anoop spent delhi develop keshav silicon write institut alto palo mix steve sharma quarter draft script claim audio media sigcomm multicast tk tcl thing etc gupta lead mean inc call client stanford rate display ip h v make dept phd microsoft classroom window format network atm fast support fact ps motion ta email server site fall edu test transform viewer year leader access multimedia paper program file bill x name type work research use link text term part design data spring upson hall group cs
258	Non-Course	Non-Course	 kristin page home
259	Non-Course	Non-Course	 sell superhighway cow sale melco music japan bs tokyo assign inform thing ok co html ee think get return take edu interest march way work page cs
260	Non-Course	Non-Course	 guri fund multiscalar sohi inform wisconsin wisc talk user world edu interest paper group page home cs
261	Non-Course	Non-Course	 kwok chung valley sky etzioni weld softbot oren wind aka agent cse inform uw washington ai contact hi dan edu hyper vision work page home cs
262	Non-Course	Non-Course	 perfect membership minimum salesman medal adjunct travel wigderson america prize plane pennsylvania nation institut technion teach karp match art pp vol berkeley john j richard washington ii board e acm network flow random miller professor edu von program research press part cs
